c_proveedor,c_articulo,q_bultos_kilos_diarco,f_alta_sist,c_usuario_genero_oc,c_terminal_genero_oc,f_genero_oc,c_usuario_bloqueo,m_procesado,f_procesado,u_prefijo_oc,u_sufijo_oc,c_compra_kikker,c_usuario_modif,c_comprador,c_sucu_empr,m_publicado,stock
11740,70511,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,70631,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,1,False,
11740,70400,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,82,False,0.0
11740,70631,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,73523,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,72522,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,1,False,
11740,73439,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,73524,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,90033,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,82,False,0.0
11740,73441,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,82,False,0.0
11740,72523,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,72770,3,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,1,False,
11740,72770,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,73519,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,90033,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,1,False,
11740,72520,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,72522,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
